Username,Compound Score,Date,Negative Score,Neutral Score,Postive Score,Tweets Ago
@BBC,0.1779,Wed Jun 06 18:03:04 +0000 2018,0.122,0.718,0.16,1
@BBC,0.0,Wed Jun 06 17:02:09 +0000 2018,0.0,1.0,0.0,2
@BBC,0.0,Wed Jun 06 16:00:01 +0000 2018,0.0,1.0,0.0,3
@BBC,0.3182,Wed Jun 06 13:02:05 +0000 2018,0.0,0.892,0.108,4
@BBC,-0.5574,Wed Jun 06 12:21:20 +0000 2018,0.153,0.847,0.0,5
@BBC,-0.6523,Wed Jun 06 12:03:06 +0000 2018,0.236,0.764,0.0,6
@BBC,0.0,Wed Jun 06 11:02:02 +0000 2018,0.0,1.0,0.0,7
@BBC,0.0,Wed Jun 06 10:01:40 +0000 2018,0.0,1.0,0.0,8
@BBC,0.4215,Wed Jun 06 08:55:39 +0000 2018,0.0,0.833,0.167,9
@BBC,0.0,Wed Jun 06 08:55:13 +0000 2018,0.0,1.0,0.0,10
@BBC,0.0,Wed Jun 06 08:55:07 +0000 2018,0.0,1.0,0.0,11
@BBC,0.2732,Wed Jun 06 08:02:01 +0000 2018,0.126,0.698,0.177,12
@BBC,-0.7579,Wed Jun 06 07:31:01 +0000 2018,0.281,0.667,0.053,13
@BBC,0.0,Wed Jun 06 07:04:04 +0000 2018,0.0,1.0,0.0,14
@BBC,-0.4019,Tue Jun 05 19:25:03 +0000 2018,0.137,0.863,0.0,15
@BBC,-0.7184,Tue Jun 05 19:02:05 +0000 2018,0.273,0.727,0.0,16
@BBC,0.0,Tue Jun 05 18:02:06 +0000 2018,0.0,1.0,0.0,17
@BBC,0.8221,Tue Jun 05 16:50:46 +0000 2018,0.0,0.719,0.281,18
@BBC,-0.8126,Tue Jun 05 16:31:52 +0000 2018,0.27,0.73,0.0,19
@BBC,-0.1531,Tue Jun 05 16:00:22 +0000 2018,0.11,0.814,0.076,20
@BBC,0.6369,Tue Jun 05 13:01:07 +0000 2018,0.0,0.84,0.16,21
@BBC,0.8122,Tue Jun 05 12:00:22 +0000 2018,0.09,0.519,0.391,22
@BBC,0.4019,Tue Jun 05 11:12:05 +0000 2018,0.0,0.863,0.137,23
